pop,pop_dens,error,price,predicted_price
1369,176.4175257732,46276.39402606437,119397,73120.60597393563
9438,5302.2471910112,44940.228785981875,55173,100113.22878598188
7299,1158.5714285714,182697.31235718227,269985,87287.68764281772
84,77.7777777778,50955.51678262856,122938,71982.48321737144
14796,2466.0,37584.89447744022,62182,99766.89447744022
3807,265.4811715481,35873.192491689,109079,73205.807508311
6244,207.8561917443,78207.89322715062,148422,70214.10677284938
1174,578.3251231527,49276.69721444696,130477,81200.30278555304
1931,403.1315240084,41085.50838108838,118417,77331.49161891162
8923,3458.527131783,78182.27142138866,185213,107030.72857861134
113173,1662.5973262818,30582.328676428675,70966,40383.671323571325
6817,56.7799433617,63917.097893070386,130375,66457.90210692961
723,153.5031847134,68773.87306677793,141889,73115.12693322207
133,5.3911633563,27029.802006757323,43348,70377.80200675732
854,145.7337883959,34032.67875019455,106887,72854.32124980545
883,412.6168224299,56883.31003694449,135136,78252.68996305551
8868,346.1358313817,30583.948462964225,101854,71270.05153703578
4615,750.406504065,49698.388684254285,131753,82054.61131574571
493,169.4158075601,44506.041206826805,118125,73618.9587931732
1000,1063.829787234,30779.7661161336,58786,89565.7661161336
13067,1664.5859872612,80056.1487967336,171602,91545.8512032664
3239,1732.0855614973,77045.901204732,174458,97412.098795268
603,198.3552631579,32399.63328731386,106541,74141.36671268614
3270,1292.4901185771,28414.074884590445,63238,91652.07488459045
694,296.5811965812,149448.11675866265,225534,76085.88324133735
3209,426.7287234043,36032.41237932282,112934,76901.58762067718
16506,1196.0869565217,101969.78549985612,184876,82906.21450014388
2387,616.7958656331,347721.74742087576,428474,80752.25257912422
7759,1450.2803738318,35911.606178416245,56034,91945.60617841624
1366,477.6223776224,48539.12153568436,127195,78655.87846431564
1432,361.6161616162,44742.25733887244,120940,76197.74266112756
10458,143.0251641138,35406.92674254329,100133,64726.07325745671
1709,248.0406386067,52748.514680304244,126297,73548.48531969576
5960,867.5400291121,27890.83350533442,55342,83232.83350533442
3776,788.3089770355,92654.187146258,175791,83136.812853742
11269,1290.8361970218,25076.354163821656,62439,87515.35416382166
810,519.2307692308,37925.80988611432,117803,79877.19011388568
843,344.0816326531,59561.83202232496,135804,76242.16797767504
101,117.4418604651,52204.50213143871,124021,71816.49786856129
5336,2884.3243243243,47904.65739470272,59378,107282.65739470272
2186,797.8102189781,93053.93711352638,177380,84326.06288647362
431,218.7817258883,28957.65474840172,102790,73832.34525159828
744,55.3571428571,25090.240388021775,44826,69916.24038802178
1128,566.8341708543,44867.339220314854,125477,80609.66077968515
473,267.2316384181,95011.94641840956,169871,74859.05358159044
6738,3133.9534883721,29505.3284878415,78450,107955.3284878415
35,6.2949640288,25938.94820111066,43375,69313.94820111066
3775,1165.1234567901,91250.61834114793,180969,89718.38165885207
451,173.4615384615,34458.14930904673,107273,72814.85069095327
7436,1022.833562586,70910.14310321558,156054,85143.85689678442
684,178.590078329,35915.97564259282,108674,72758.02435740718
7059,345.8598726115,55038.66272674572,126918,71879.33727325428
2180,1009.2592592593,25809.312931057153,62263,88072.31293105715
3004,1938.064516129,33655.85793654196,66958,100613.85793654196
6362,417.1803278689,28050.86912218749,101981,73930.13087781251
1423,737.3056994819,134664.90612508872,218358,83693.09387491128
9041,1952.6997840173,39322.69337027741,58710,98032.69337027741
1241,109.3392070485,77365.01966542551,148149,70783.98033457449
5350,305.7142857143,231235.1958175258,303440,72204.8041824742
3024,448.6646884273,26106.116066725983,103022,76915.88393327402
986,225.1141552511,52695.884830617084,126264,73568.11516938292
12413,5642.2727272727,32929.25107699263,63834,96763.25107699263
38197,4116.0560344828,37845.31934357266,66840,104685.31934357266
15844,4136.8146214099,30007.732398973807,77188,107195.7323989738
3755,312.3960066556,25481.36074044551,99185,73703.63925955449
6783,2268.5618729097,25177.56202720187,127300,102122.43797279813
441,23.1011000524,36108.45441679048,33514,69622.45441679048
262,152.3255813953,27570.657091230154,100214,72643.34290876985
4038,1238.6503067485,25378.993052116653,65265,90643.99305211665
1221,154.1666666667,30660.182182057062,102670,72009.81781794294
